"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"Leishmania donovani antibody, Blood","26638-7","Leishmania donovani Ab:PrThr:Pt:Ser:Ord","Leishmania donovani Ab [Presence] in Serum"
"Johnson grass allergy test","6152-3","Sorghum halepense Ab.IgE:ACnc:Pt:Ser:Qn","Johnson grass IgE Ab [Units/volume] in Serum"
"Hemoglobin S/Total Hgb, Blood","4625-0","Hemoglobin S/Hemoglobin.total:MFr:Pt:Bld:Qn","Hemoglobin S/Hemoglobin.total in Blood"
"Hemoglobin A/Total Hgb, Blood","4546-8","Hemoglobin A/Hemoglobin.total:MFr:Pt:Bld:Qn","Hemoglobin A/Hemoglobin.total in Blood"
"IgG subclass 4, Blood","2469-5","IgG subclass 4:MCnc:Pt:Ser:Qn","IgG subclass 4 [Mass/volume] in Serum"
"Honey bee allergy test","6844-5","Apis mellifera Ab.IgE:ACnc:Pt:Ser:Qn","Honey bee IgE Ab [Units/volume] in Serum"
"IgA, Blood","18299-8","IgA:PrThr:Pt:Ser:Ord:Immunofixation","IgA [Presence] in Serum by Immunofixation"
"Immunoglobulin light chains.kappa, Spinal fluid","44605-4","Immunoglobulin light chains.kappa:PrThr:Pt:CSF:Ord:Immunofixation","Kappa light chains [Presence] in Cerebral spinal fluid by Immunofixation"
"Hamster epithelium allergy test","6135-8","Hamster epithelium Ab.IgE:ACnc:Pt:Ser:Qn","Hamster epithelium IgE Ab [Units/volume] in Serum"
"Insulin, Blood","20448-7","Insulin:ACnc:Pt:Ser/Plas:Qn","Insulin [Units/volume] in Serum or Plasma"
"Susceptibility to Isoniazid 0.1 ug/mL","25217-1","Isoniazid 0.1 ug/mL:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Isoniazid 0.1 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria"
"Hypochromia, Blood","30400-6","Hypochromia:PrThr:Pt:Bld:Ord","Hypochromia [Presence] in Blood"
"IgG, Spinal fluid","2464-6","IgG:MCnc:Pt:CSF:Qn","IgG [Mass/volume] in Cerebral spinal fluid"
"Iron, Blood","2498-4","Iron:MCnc:Pt:Ser/Plas:Qn","Iron [Mass/volume] in Serum or Plasma"
"Itraconazole, Specimen","25258-5","Itraconazole:MCnc:Pt:XXX:Qn","Itraconazole [Mass/volume] in Specimen"
"Goldenrod allergy test","6128-3","Solidago virgaurea Ab.IgE:ACnc:Pt:Ser:Qn","Goldenrod IgE Ab [Units/volume] in Serum"
"Glucose, Urine","21305-8","Glucose:MCnc:24H:Urine:Qn","Glucose [Mass/volume] in 24 hour Urine"
"Microscopic observation, Eye","14364-4","Microscopic observation:Prid:Pt:Eye:Nom:Gram stain","Microscopic observation [Identifier] in Eye by Gram stain"
"Helicobacter pylori antigen, Stool","31843-6","Helicobacter pylori Ag:PrThr:Pt:Stool:Ord","Helicobacter pylori Ag [Presence] in Stool"
"Susceptibility to Isoniazid","18934-0","Isoniazid:Susc:Pt:Isolate:OrdQn","Isoniazid [Susceptibility]"
"Microscopic observation, Pus","643-7","Microscopic observation:Prid:Pt:Pus:Nom:Gram stain","Microscopic observation [Identifier] in Pus by Gram stain"
"Green pepper allergy test","6852-8","Pepper green Ab.IgE:ACnc:Pt:Ser:Qn","Green Pepper IgE Ab [Units/volume] in Serum"
"Microscopic observation, Throat","14362-8","Microscopic observation:Prid:Pt:Thrt:Nom:Gram stain","Microscopic observation [Identifier] in Throat by Gram stain"
"Hematocrit, Blood","20570-8","Hematocrit:VFr:Pt:Bld:Qn","Hematocrit [Volume Fraction] of Blood"
"Glucose, Blood","2345-7","Glucose:MCnc:Pt:Ser/Plas:Qn","Glucose [Mass/volume] in Serum or Plasma"
"Gluten allergy test","6125-9","Gluten Ab.IgE:ACnc:Pt:Ser:Qn","Gluten IgE Ab [Units/volume] in Serum"
"Globulin, Blood","13536-8","Globulin:MCnc:Pt:Plas:Qn","Globulin [Mass/volume] in Plasma"
"Glucose, Urine","2349-9","Glucose:PrThr:Pt:Urine:Ord","Glucose [Presence] in Urine"
"Glucose 2 hr after glucose, Blood","20436-2","Glucose^2H post dose glucose:MCnc:Pt:Ser/Plas:Qn","Glucose [Mass/volume] in Serum or Plasma --2 hours post dose glucose"
"Mercury/Creatinine, Urine","13465-0","Mercury/Creatinine:MRto:Pt:Urine:Qn","Mercury/Creatinine [Mass Ratio] in Urine"
"Mouse epithelium allergy test","6179-6","Mouse epithelium Ab.IgE:ACnc:Pt:Ser:Qn","Mouse epithelium IgE Ab [Units/volume] in Serum"
"Mercury, Urine","5689-5","Mercury:MCnc:Pt:Urine:Qn","Mercury [Mass/volume] in Urine"
"Magnesium, Blood","19123-9","Magnesium:MCnc:Pt:Ser/Plas:Qn","Magnesium [Mass/volume] in Serum or Plasma"
"Mesothelial cells per 100 white blood cells, Pericardial fluid","14828-8","Mesothelial cells/100 leukocytes:NFr:Pt:Pericard fld:Qn:Manual count","Mesothelial cells/100 leukocytes in Pericardial fluid by Manual count"
"Metamyelocytes per 100 white blood cells, Blood","28541-1","Metamyelocytes/100 leukocytes:NFr:Pt:Bld:Qn","Metamyelocytes/100 leukocytes in Blood"
"Magnesium/Creatinine, Urine","13474-2","Magnesium/Creatinine:MRto:Pt:Urine:Qn","Magnesium/Creatinine [Mass Ratio] in Urine"
"Lymphocytes per 100 white blood cells, Blood","26478-8","Lymphocytes/100 leukocytes:NFr:Pt:Bld:Qn","Lymphocytes/100 leukocytes in Blood"
"Meadow fescue allergy test","6169-7","Festuca elatior Ab.IgE:ACnc:Pt:Ser:Qn","Meadow Fescue IgE Ab [Units/volume] in Serum"
"Goosefoot allergy test","6156-4","Chenopodium album Ab.IgE:ACnc:Pt:Ser:Qn","Goosefoot IgE Ab [Units/volume] in Serum"
"Mango allergy test","6167-1","Mangifera indica Ab.IgE:ACnc:Pt:Ser:Qn","Mango IgE Ab [Units/volume] in Serum"
"Magnesium, Urine","19124-7","Magnesium:MCnc:Pt:Urine:Qn","Magnesium [Mass/volume] in Urine"
"Free kappa light chains, Urine","88301-7","Immunoglobulin light chains.kappa.free:PrThr:24H:Urine:Ord:Immunofixation","Kappa light chains.free [Presence] in 24 hour Urine by Immunofixation"
"White mulberry allergy test","6281-0","Morus alba Ab.IgE:ACnc:Pt:Ser:Qn","White mulberry IgE Ab [Units/volume] in Serum"
"Spermatozoa nonprogressive per 100 Sperm, Semen","10620-3","Spermatozoa.nonprogressive/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Nonprogressive/100 spermatozoa in Semen"
"Non-HDL cholesterol, Blood","43396-1","Cholesterol.non HDL:MCnc:Pt:Ser/Plas:Qn","Cholesterol non HDL [Mass/volume] in Serum or Plasma"
"Microcytes, Blood","741-9","Microcytes:PrThr:Pt:Bld:Ord:Microscopy.light","Microcytes [Presence] in Blood by Light microscopy"
"Oat allergy test","6190-3","Avena sativa Ab.IgE:ACnc:Pt:Ser:Qn","Oat IgE Ab [Units/volume] in Serum"
"Monocytes per 100 white blood cells, Blood","26485-3","Monocytes/100 leukocytes:NFr:Pt:Bld:Qn","Monocytes/100 leukocytes in Blood"
"Albumin, Urine","14956-7","Albumin:MRat:24H:Urine:Qn:Detection limit <= 20 mg/L","Microalbumin [Mass/time] in 24 hour Urine"
"Mustard allergy test","6185-3","Mustard Ab.IgE:ACnc:Pt:Ser:Qn","Mustard IgE Ab [Units/volume] in Serum"
"Monocytes per 100 white blood cells, Pericardial fluid","33389-8","Monocytes/100 leukocytes:NFr:Pt:Pericard fld:Qn","Monocytes/100 leukocytes in Pericardial fluid"
"Mercury, Urine","21383-5","Mercury:MCnc:24H:Urine:Qn","Mercury [Mass/volume] in 24 hour Urine"
"Susceptibility to Moxifloxacin","88707-5","Moxifloxacin 0.25 ug/mL:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Moxifloxacin 0.25 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria"
"Milk allergy test","6174-7","Milk Ab.IgE:ACnc:Pt:Ser:Qn","Milk IgE Ab [Units/volume] in Serum"
"Nickel, Urine","5705-9","Nickel:MRat:24H:Urine:Qn","Nickel [Mass/time] in 24 hour Urine"
"Osmolality, Blood","2692-2","Osmolality:Osmol:Pt:Ser/Plas:Qn","Osmolality of Serum or Plasma"
"Nettle allergy test","6186-1","Urtica dioica Ab.IgE:ACnc:Pt:Ser:Qn","Nettle IgE Ab [Units/volume] in Serum"
"Spermatozoa normal per 100 Sperm, Semen","10622-9","Spermatozoa.normal/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Normal/100 spermatozoa in Semen"
"Spermatozoa immotile per 100 Sperm, Semen","10611-2","Spermatozoa.immotile/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Immotile/100 spermatozoa in Semen"
"Neutrophils per 100 white blood cells, Pericardial fluid","30454-3","Neutrophils/100 leukocytes:NFr:Pt:Pericard fld:Qn","Neutrophils/100 leukocytes in Pericardial fluid"
"Nucleated red blood cells per 100 white blood cells, Blood","19048-8","Erythrocytes.nucleated/100 leukocytes:Ratio:Pt:Bld:Qn","Nucleated erythrocytes/100 leukocytes [Ratio] in Blood"
"Albumin, Urine","14957-5","Albumin:MCnc:Pt:Urine:Qn:Detection limit <= 20 mg/L","Microalbumin [Mass/volume] in Urine"
"Nickel/Creatinine, Urine","56654-7","Nickel/Creatinine:Ratio:Pt:Urine:Qn","Nickel/Creatinine [Ratio] in Urine"
"Mugwort allergy test","6183-8","Artemisia vulgaris Ab.IgE:ACnc:Pt:Ser:Qn","Mugwort IgE Ab [Units/volume] in Serum"
"Myelocytes per 100 white blood cells, Blood","26498-6","Myelocytes/100 leukocytes:NFr:Pt:Bld:Qn","Myelocytes/100 leukocytes in Blood"
"Hepatitis A virus (HAV) IgM antibody, Blood","22314-9","Hepatitis A virus Ab.IgM:PrThr:Pt:Ser:Ord","Hepatitis A virus IgM Ab [Presence] in Serum"
"Osmolality, Urine","2695-5","Osmolality:Osmol:Pt:Urine:Qn","Osmolality of Urine"
"Fungus test, Body fluid","33039-9","Fungus identified:Prid:Pt:Body fld:Nom:Fungus stain","Fungus identified in Body fluid by Fungus stain"
"Microscopic observation, Blood","34959-7","Microscopic observation:Prid:Pt:Bld:Nom:Myeloperoxidase stain","Microscopic observation [Identifier] in Blood by Myeloperoxidase stain"
"Microscopic observation, Sputum","53904-9","Microscopic observation:Prid:Pt:Sputum:Nom:Rhodamine-auramine fluorochrome stain","Microscopic observation [Identifier] in Sputum by Rhodamine-auramine fluorochrome stain"
"Microscopic observation, Specimen","664-3","Microscopic observation:Prid:Pt:XXX:Nom:Gram stain","Microscopic observation [Identifier] in Specimen by Gram stain"
"Papaya allergy test","6850-2","Carica papaya Ab.IgE:ACnc:Pt:Ser:Qn","Papaya (Carica papaya) IgE Ab [Units/volume] in Serum"
"Orange allergy test","6194-5","Citrus sinensis Ab.IgE:ACnc:Pt:Ser:Qn","Orange IgE Ab [Units/volume] in Serum"
"Hepatitis B virus (HBV) e IgG antibody, Blood","41151-2","Hepatitis B virus little e Ab.IgG:PrThr:Pt:Ser:Ord","Hepatitis B virus e IgG Ab [Presence] in Serum"
"Mushroom allergy test","6848-6","Agaricus hortensis Ab.IgE:ACnc:Pt:Ser:Qn","Mushroom IgE Ab [Units/volume] in Serum"
"Filaria test, Blood","40745-2","Filaria identified:Prid:Pt:Bld:Nom","Filaria identified in Blood"
"Parrot feather allergy test","6202-6","Parrot feather Ab.IgE:ACnc:Pt:Ser:Qn","Parrot feather IgE Ab [Units/volume] in Serum"
"Albumin/Creatinine, Urine","44292-1","Albumin/Creatinine:MRto:12H:Urine:Qn:Detection limit <= 20 mg/L","Microalbumin/Creatinine [Mass Ratio] in 12 hour Urine"
"Neutrophils per 100 white blood cells, Blood","26511-6","Neutrophils/100 leukocytes:NFr:Pt:Bld:Qn","Neutrophils/100 leukocytes in Blood"
"Spermatozoa motile per 100 Sperm, Semen","6800-7","Spermatozoa.motile/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Motile/100 spermatozoa in Semen"
"Osmolality, Urine","2694-8","Osmolality:Osmol:24H:Urine:Qn","Osmolality of 24 hour Urine"
"Phadiatop allergy test","7599-4","Phadiatop Ab.IgE:ACnc:Pt:Ser:Qn","Phadiatop IgE Ab [Units/volume] in Serum"
"Hepatitis B virus (HBV) e antibody, Blood","22320-6","Hepatitis B virus little e Ab:PrThr:Pt:Ser:Ord","Hepatitis B virus e Ab [Presence] in Serum"
"Platelet count, Blood","26515-7","Platelets:NCnc:Pt:Bld:Qn","Platelets [#/volume] in Blood"
"Mumps virus IgG antibody, Blood","7966-5","Mumps virus Ab.IgG:ACnc:Pt:Ser:Qn","Mumps virus IgG Ab [Units/volume] in Serum"
"Hepatitis C virus (HCV) antibody, Blood","16128-1","Hepatitis C virus Ab:PrThr:Pt:Ser:Ord","Hepatitis C virus Ab [Presence] in Serum"
"Phadiatop infant allergy test","57742-9","Phadiatop Infant Ab.IgE:ACnc:Pt:Ser:Qn","Phadiatop infant IgE Ab [Units/volume] in Serum"
"Hepatitis B virus (HBV) Core antibody, Blood","16933-4","Hepatitis B virus core Ab:PrThr:Pt:Ser:Ord","Hepatitis B virus core Ab [Presence] in Serum"
"Hepatitis A virus (HAV) antibody, Blood","20575-7","Hepatitis A virus Ab:PrThr:Pt:Ser:Ord","Hepatitis A virus Ab [Presence] in Serum"
"Protein.monoclonal, Blood","94400-9","Protein.monoclonal:PrThr:Pt:Ser/Plas:Ord","Protein.monoclonal [Presence] in Serum or Plasma"
"Hepatitis B virus (HBV) Surface antigen, Blood","5195-3","Hepatitis B virus surface Ag:PrThr:Pt:Ser:Ord","Hepatitis B virus surface Ag [Presence] in Serum"
"Peanut allergy test","6206-7","Arachis hypogaea Ab.IgE:ACnc:Pt:Ser:Qn","Peanut IgE Ab [Units/volume] in Serum"
"Pear allergy test","6207-5","Pyrus communis Ab.IgE:ACnc:Pt:Ser:Qn","Pear IgE Ab [Units/volume] in Serum"
"Phosphate, Urine","2778-9","Phosphate:MCnc:Pt:Urine:Qn","Phosphate [Mass/volume] in Urine"
"Nitrite, Urine","32710-6","Nitrite:PrThr:Pt:Urine:Ord","Nitrite [Presence] in Urine"
"pH, Blood","11558-4","pH:LsCnc:Pt:Bld:SemiQn","pH of Blood"
"Susceptibility to Ofloxacin 2 ug/mL","41409-4","Ofloxacin 2.0 ug/mL:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Ofloxacin 2 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria"
"Penicillium notatum allergy test","6212-5","Penicillium notatum Ab.IgE:ACnc:Pt:Ser:Qn","Penicillium notatum IgE Ab [Units/volume] in Serum"
"Hepatitis B virus (HBV) e antigen, Blood","31844-4","Hepatitis B virus little e Ag:PrThr:Pt:Ser:Ord","Hepatitis B virus e Ag [Presence] in Serum"
"Spermatozoa pin head per 100 Sperm, Semen","10623-7","Spermatozoa.pin head/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Pin Head/100 spermatozoa in Semen"
"Pork allergy test","6219-0","Pork Ab.IgE:ACnc:Pt:Ser:Qn","Pork IgE Ab [Units/volume] in Serum"
"Microscopic observation, Blood Or Bone Marrow","9786-5","Microscopic observation:Prid:Pt:Bld/Bone mar:Nom:Periodic acid-Schiff stain","Microscopic observation [Identifier] in Blood or Marrow by Periodic acid-Schiff stain"
"Yeast culture","90078-7","Yeast identified:Prid:Pt:Isolate:Nom:Organism specific culture","Yeast identified in Isolate by Organism specific culture"
"Progesterone, Blood","2839-9","Progesterone:MCnc:Pt:Ser/Plas:Qn","Progesterone [Mass/volume] in Serum or Plasma"
"Nickel, Urine","14099-6","Nickel:MCnc:Pt:Urine:Qn","Nickel [Mass/volume] in Urine"
"Poikilocytosis, Blood","779-9","Poikilocytosis:PrThr:Pt:Bld:Ord:Microscopy.light","Poikilocytosis [Presence] in Blood by Light microscopy"
"Pistachio allergy test","7613-3","Pistacia vera Ab.IgE:ACnc:Pt:Ser:Qn","Pistachio IgE Ab [Units/volume] in Serum"
"Hepatitis C virus (HCV)/Cutoff, Blood","48159-8","Hepatitis C virus Ab Signal/Cutoff:RelACnc:Pt:Ser/Plas:Qn:IA","Hepatitis C virus Ab Signal/Cutoff in Serum or Plasma by Immunoassay"
"Red Blood Cell (RBC) Count, Blood","26453-1","Erythrocytes:NCnc:Pt:Bld:Qn","Erythrocytes [#/volume] in Blood"
"Pineapple allergy test","6218-2","Ananas comosus Ab.IgE:ACnc:Pt:Ser:Qn","Pineapple IgE Ab [Units/volume] in Serum"
"HEV IgM antibody, Blood","14212-5","Hepatitis E virus Ab.IgM:PrThr:Pt:Ser:Ord","Hepatitis E virus IgM Ab [Presence] in Serum"
"Potassium, Urine","2828-2","Potassium:SCnc:Pt:Urine:Qn","Potassium [Moles/volume] in Urine"
"Potato allergy test","6220-8","Solanum tuberosum Ab.IgE:ACnc:Pt:Ser:Qn","Potato IgE Ab [Units/volume] in Serum"
"Porphobilinogen, Urine","2809-2","Porphobilinogen:PrThr:Pt:Urine:Ord","Porphobilinogen [Presence] in Urine"
"Platelet morphology finding, Blood","11125-2","Platelet morphology finding:Prid:Pt:Bld:Nom","Platelet morphology finding [Identifier] in Blood"
"Protein/Creatinine, Urine","2890-2","Protein/Creatinine:MRto:Pt:Urine:Qn","Protein/Creatinine [Mass Ratio] in Urine"
"Porphobilinogen, Urine","2810-0","Porphobilinogen:MRat:24H:Urine:Qn","Porphobilinogen [Mass/time] in 24 hour Urine"
"Rabbit epithelium allergy test","6223-2","Rabbit epithelium Ab.IgE:ACnc:Pt:Ser:Qn","Rabbit epithelium IgE Ab [Units/volume] in Serum"
"pH, Semen","2752-4","pH:LsCnc:Pt:Semen:SemiQn","pH of Semen"
"Phenytoin, Blood","3968-5","Phenytoin:MCnc:Pt:Ser/Plas:Qn","Phenytoin [Mass/volume] in Serum or Plasma"
"Protein, Pericardial fluid","33407-8","Protein:MCnc:Pt:Pericard fld:Qn","Protein [Mass/volume] in Pericardial fluid"
"Promyelocytes per 100 white blood cells, Blood","26524-9","Promyelocytes/100 leukocytes:NFr:Pt:Bld:Qn","Promyelocytes/100 leukocytes in Blood"
"Protein, Urine","2887-8","Protein:PrThr:Pt:Urine:Ord","Protein [Presence] in Urine"
"Plum allergy test","6853-6","Prunus domestica Ab.IgE:ACnc:Pt:Ser:Qn","Plum IgE Ab [Units/volume] in Serum"
"Protein, Urine","2889-4","Protein:MRat:24H:Urine:Qn","Protein [Mass/time] in 24 hour Urine"
"pH, Urine","2756-5","pH:LsCnc:Pt:Urine:SemiQn","pH of Urine"
"Red Blood Cell (RBC) Count, Urine sediment","13945-1","Erythrocytes:Naric:Pt:Urine sed:Qn:Microscopy.light.HPF","Erythrocytes [#/area] in Urine sediment by Microscopy high power field"
"Susceptibility to Pyrazinamide 100 ug/mL","25229-6","Pyrazinamide 100.0 ug/mL:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Pyrazinamide 100 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria"
"Potassium, Blood","2823-3","Potassium:SCnc:Pt:Ser/Plas:Qn","Potassium [Moles/volume] in Serum or Plasma"
"Mean Corpuscular Volume (MCV), Red blood cells","30428-7","Erythrocyte mean corpuscular volume:EntVol:Pt:RBC:Qn","MCV [Entitic volume]"
"Phosphate, Blood","2777-1","Phosphate:MCnc:Pt:Ser/Plas:Qn","Phosphate [Mass/volume] in Serum or Plasma"
"Porphobilinogen/Creatinine, Urine","34357-4","Porphobilinogen/Creatinine:SRto:Pt:Urine:Qn","Porphobilinogen/Creatinine [Molar ratio] in Urine"
"Susceptibility to Para aminosalicylate","23611-7","Para aminosalicylate:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Para aminosalicylate [Susceptibility] by Method for Slow-growing mycobacteria"
"Melon allergy test","57884-9","Cucumis melo spp Ab.IgE:ACnc:Pt:Ser:Qn","Honeydew melon IgE Ab [Units/volume] in Serum"
"Glucose, Urine","25428-4","Glucose:PrThr:Pt:Urine:Ord:Test strip","Glucose [Presence] in Urine by Test strip"
"Oxalate, Blood","15085-4","Oxalate:SCnc:Pt:Ser/Plas:Qn","Oxalate [Moles/volume] in Serum or Plasma"
"Polychromasia, Blood","10378-8","Polychromasia:PrThr:Pt:Bld:Ord:Microscopy.light","Polychromasia [Presence] in Blood by Light microscopy"
"Mercury, Blood","5685-3","Mercury:MCnc:Pt:Bld:Qn","Mercury [Mass/volume] in Blood"
"Peach allergy test","6205-9","Prunus persica Ab.IgE:ACnc:Pt:Ser:Qn","Peach IgE Ab [Units/volume] in Serum"
"Microcytes, Urine","18422-6","Microcytes:PrThr:Pt:Urine:Ord:Microscopy.light","Microcytes [Presence] in Urine by Light microscopy"
"Liquefaction, Semen","10580-9","Liquefaction:Time:Pt:Semen:Qn","Liquefaction [Time] in Semen"
"Microscopic observation, Bone marrow","13510-3","Microscopic observation:Prid:Pt:Bone mar:Nom:Myeloperoxidase stain","Microscopic observation [Identifier] in Bone marrow by Myeloperoxidase stain"
"Spermatozoa small oval head per 100 Sperm, Semen","10627-8","Spermatozoa.small oval head/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Small Oval Head/100 spermatozoa in Semen"
"Macrocytes, Blood","30424-6","Macrocytes:PrThr:Pt:Bld:Ord","Macrocytes [Presence] in Blood"
"Ovalocytes, Blood","774-0","Ovalocytes:PrThr:Pt:Bld:Ord:Microscopy.light","Ovalocytes [Presence] in Blood by Light microscopy"
"Onion allergy test","6193-7","Allium cepa Ab.IgE:ACnc:Pt:Ser:Qn","Onion IgE Ab [Units/volume] in Serum"
"Spermatozoa progressive per 100 Sperm, Semen","14194-5","Spermatozoa.progressive/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Progressive/100 spermatozoa in Semen"
"Mean Corpuscular Hemoglobin (MCH), Red blood cells","28539-5","Erythrocyte mean corpuscular hemoglobin:EntMass:Pt:RBC:Qn","MCH [Entitic mass]"
"Phosphate, Urine","21458-5","Phosphate:MCnc:24H:Urine:Qn","Phosphate [Mass/volume] in 24 hour Urine"
"Lutropin (LH; Luteinizing Hormone), Blood","10501-5","Lutropin:ACnc:Pt:Ser/Plas:Qn","Lutropin [Units/volume] in Serum or Plasma"
"Platelet mean volume, Blood","28542-9","Platelet mean volume:EntVol:Pt:Bld:Qn","Platelet mean volume [Entitic volume] in Blood"
"Mesquite allergy test","6173-9","Prosopis juliflora Ab.IgE:ACnc:Pt:Ser:Qn","Mesquite IgE Ab [Units/volume] in Serum"
"Mean Corpuscular Hemoglobin Concentration (MCHC), Red blood cells","28540-3","Erythrocyte mean corpuscular hemoglobin concentration:MCnc:Pt:RBC:Qn","MCHC [Mass/volume]"
"Mucor racemosus allergy test","6182-0","Mucor racemosus Ab.IgE:ACnc:Pt:Ser:Qn","Mucor racemosus IgE Ab [Units/volume] in Serum"
"Estimated average glucose, Blood","27353-2","Estimated average glucose:MCnc:Pt:Bld:Qn:Estimated from glycated hemoglobin","Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin"
"Micafungin, Blood","58418-5","Micafungin:MCnc:Pt:Ser/Plas:Qn","Micafungin [Mass/volume] in Serum or Plasma"
"Cholinesterase, Blood","2098-2","Cholinesterase:CCnc:Pt:Ser/Plas:Qn","Cholinesterase [Enzymatic activity/volume] in Serum or Plasma"
"Erythrocyte Sedimentation Rate (ESR; Sed Rate), Blood","30341-2","Erythrocyte sedimentation rate:Vel:Pt:Bld:Qn","Erythrocyte sedimentation rate"
"Rapeseed allergy test","11195-5","Brassica rapa Ab.IgE:ACnc:Pt:Ser:Qn","Rapeseed IgE Ab [Units/volume] in Serum"
"Plasmodium sp test, Blood","637-9","Plasmodium sp identified:Prid:Pt:Bld:Nom:Thick film","Plasmodium sp identified in Blood by Thick film"
"Porphobilinogen, Urine","24446-7","Porphobilinogen:MCnc:Pt:Urine:Qn","Porphobilinogen [Mass/volume] in Urine"
"Red Blood Cell Distribution Width (RDW), Red blood cells","30385-9","Erythrocyte distribution width:Ratio:Pt:RBC:Qn","Erythrocyte distribution width [Ratio]"
"Posaconazole, Blood","53731-6","Posaconazole:MCnc:Pt:Ser/Plas:Qn","Posaconazole [Mass/volume] in Serum or Plasma"
"Pregnancy Associated Plasma Protein A, Blood","32046-5","Pregnancy associated plasma protein A:ACnc:Pt:Ser/Plas:Qn","Pregnancy associated plasma protein A [Units/volume] in Serum or Plasma"
"Prostate specific antigen, Blood","2857-1","Prostate specific Ag:MCnc:Pt:Ser/Plas:Qn","Prostate specific Ag [Mass/volume] in Serum or Plasma"
"Prothrombin Time (PT), Blood","5902-2","Coagulation tissue factor induced:Time:Pt:PPP:Qn:Coag","Prothrombin time (PT)"
"Bartlett score, Sputum","75371-5","Bartlett score:Score:Pt:Sputum:Ord:Microscopy.light","Bartlett score of Sputum Qualitative by Light microscopy"
"Sodium, Blood","2951-2","Sodium:SCnc:Pt:Ser/Plas:Qn","Sodium [Moles/volume] in Serum or Plasma"
"Specific gravity, Urine","2965-2","Specific gravity:Rden:Pt:Urine:Qn","Specific gravity of Urine"
"Free testosterone, Blood","2991-8","Testosterone.free:MCnc:Pt:Ser/Plas:Qn","Testosterone Free [Mass/volume] in Serum or Plasma"
"T4, Blood","3026-2","Thyroxine:MCnc:Pt:Ser/Plas:Qn","Thyroxine (T4) [Mass/volume] in Serum or Plasma"
"Iron binding capacity, Blood","2500-7","Iron binding capacity:MCnc:Pt:Ser/Plas:Qn","Iron binding capacity [Mass/volume] in Serum or Plasma"
"Sodium, Urine","2955-3","Sodium:SCnc:Pt:Urine:Qn","Sodium [Moles/volume] in Urine"
"Urobilinogen, Urine","13658-0","Urobilinogen:PrThr:Pt:Urine:Ord","Urobilinogen [Presence] in Urine"
"Cobalamin (Vitamin B12), Blood","2132-9","Cobalamins:MCnc:Pt:Ser/Plas:Qn","Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma"
"CD19+Kappa+ cells per 100 cells, Blood","17122-3","Cells.CD19+Kappa+/100 cells:NFr:Pt:Bld:Qn","CD19+Kappa+ cells/100 cells in Blood"
"HCG (Pregnancy Test), Urine","2106-3","Choriogonadotropin (pregnancy test):PrThr:Pt:Urine:Ord","Choriogonadotropin (pregnancy test) [Presence] in Urine"
"Protein, Blood","2885-2","Protein:MCnc:Pt:Ser/Plas:Qn","Protein [Mass/volume] in Serum or Plasma"
"Testosterone, Blood","2986-8","Testosterone:MCnc:Pt:Ser/Plas:Qn","Testosterone [Mass/volume] in Serum or Plasma"
"CD10 cells per 100 cells, Blood","8107-5","Cells.CD10/100 cells:NFr:Pt:Bld:Qn","CD10 cells/100 cells in Blood"
"T3, Blood","3053-6","Triiodothyronine:MCnc:Pt:Ser/Plas:Qn","Triiodothyronine (T3) [Mass/volume] in Serum or Plasma"
"Bile acid, Blood","14628-2","Bile acid:SCnc:Pt:Ser/Plas:Qn","Bile acid [Moles/volume] in Serum or Plasma"
"VLDL cholesterol, Blood","2091-7","Cholesterol.in VLDL:MCnc:Pt:Ser/Plas:Qn","Cholesterol in VLDL [Mass/volume] in Serum or Plasma"
"Free PSA/Total Prostate Specific Antigen (Total PSA), Blood","12841-3","Prostate specific Ag.free/Prostate specific Ag.total:MFr:Pt:Ser/Plas:Qn","Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma"
"CD13 cells per 100 cells, Blood","8110-9","Cells.CD13/100 cells:NFr:Pt:Bld:Qn","CD13 cells/100 cells in Blood"
"CD5 cells per 100 cells, Blood","8132-3","Cells.CD5/100 cells:NFr:Pt:Bld:Qn","CD5 cells/100 cells in Blood"
