"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"Culture, Lower respiratory","89643-1","Bacteria identified:Prid:Pt:Respiratory system specimen.lower:Nom:Aerobic culture","Bacteria identified in Lower respiratory specimen by Aerobe culture"
"Fibrin D-dimer FEU, Blood","48067-3","Fibrin D-dimer FEU:MCnc:Pt:PPP:Qn:IA","Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma by Immunoassay"
"Culture, Nasopharynx","43426-6","Bacteria identified:Prid:Pt:Nph:Nom:Aerobic culture","Bacteria identified in Nasopharynx by Aerobe culture"
"Ova and Parasites test, Stool","10704-5","Ova & parasites identified:Prid:Pt:Stool:Nom:Microscopy.light","Ova and parasites identified in Stool by Light microscopy"
"Neisseria gonorrhoeae culture, Specimen","698-1","Neisseria gonorrhoeae:PrThr:Pt:XXX:Ord:Organism specific culture","Neisseria gonorrhoeae [Presence] in Specimen by Organism specific culture"
"Culture, Throat","17898-8","Bacteria identified:Prid:Pt:Thrt:Nom:Aerobic culture","Bacteria identified in Throat by Aerobe culture"
"Culture, Urine","630-4","Bacteria identified:Prid:Pt:Urine:Nom:Culture","Bacteria identified in Urine by Culture"
"Cultivated rye allergy test","6236-4","Secale cereale pollen Ab.IgE:ACnc:Pt:Ser:Qn","Cultivated Rye IgE Ab [Units/volume] in Serum"
"Culture, Ear","608-0","Bacteria identified:Prid:Pt:Ear:Nom:Aerobic culture","Bacteria identified in Ear by Aerobe culture"
"Culture, Body fluid","611-4","Bacteria identified:Prid:Pt:Body fld:Nom:Culture","Bacteria identified in Body fluid by Culture"
"Cottonwood allergy test","6090-5","Populus deltoides Ab.IgE:ACnc:Pt:Ser:Qn","Cottonwood IgE Ab [Units/volume] in Serum"
"Escherichia coli K1 antigen, Blood","43431-6","Escherichia coli K1 Ag:PrThr:Pt:Ser:Ord","Escherichia coli K1 Ag [Presence] in Serum"
"Culture, Stool","625-4","Bacteria identified:Prid:Pt:Stool:Nom:Culture","Bacteria identified in Stool by Culture"
"Clostridioides difficile, Stool","34712-0","Clostridioides difficile:PrThr:Pt:Stool:Ord","Clostridioides difficile [Presence] in Stool"
"Gardnerella vaginalis culture, Genital specimen","21284-5","Gardnerella vaginalis:PrThr:Pt:Genital:Ord:Organism specific culture","Gardnerella vaginalis [Presence] in Genital specimen by Organism specific culture"
"Campylobacter sp culture, Specimen","6332-1","Campylobacter sp identified:Prid:Pt:XXX:Nom:Organism specific culture","Campylobacter sp identified in Specimen by Organism specific culture"
"Copper, Urine","5633-3","Copper:MRat:24H:Urine:Qn","Copper [Mass/time] in 24 hour Urine"
"Creatine Kinase (CK), Blood","2157-6","Creatine kinase:CCnc:Pt:Ser/Plas:Qn","Creatine kinase [Enzymatic activity/volume] in Serum or Plasma"
"Creatinine, Urine","2161-8","Creatinine:MCnc:Pt:Urine:Qn","Creatinine [Mass/volume] in Urine"
"Creatinine, Urine","20624-3","Creatinine:MCnc:24H:Urine:Qn","Creatinine [Mass/volume] in 24 hour Urine"
"Culture, Sputum","622-1","Bacteria identified:Prid:Pt:Sputum:Nom:Aerobic culture","Bacteria identified in Sputum by Aerobe culture"
"Creatine Kinase-MB Form (CK-MB), Blood","32673-6","Creatine kinase.MB:CCnc:Pt:Ser/Plas:Qn","Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma"
"Crystals, Urine","87828-0","Crystals:PrThr:Pt:Urine:Ord","Crystals [Presence] in Urine"
"Streptococcus.beta-hemolytic culture, Throat","546-2","Streptococcus.beta-hemolytic:PrThr:Pt:Thrt:Ord:Organism specific culture","Streptococcus.beta-hemolytic [Presence] in Throat by Organism specific culture"
"Susceptibility to Clofazimine 1 ug/mL","43989-3","Clofazimine 1.0 ug/mL:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Clofazimine 1 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria"
"Culture","20878-5","Bacteria identified:Prid:Pt:Isolate:Nom:Anaerobic culture","Bacteria identified in Isolate by Anaerobe culture"
"Cryoglobulin, Blood","5117-7","Cryoglobulin:PrThr:Pt:Ser:Ord","Cryoglobulin [Presence] in Serum"
"Cow dander allergy test","6091-3","Cow dander Ab.IgE:ACnc:Pt:Ser:Qn","Cow dander IgE Ab [Units/volume] in Serum"
"Crystals, Urine sediment","5782-8","Crystals:Prid:Pt:Urine sed:Nom:Microscopy.light","Crystals [type] in Urine sediment by Light microscopy"
"Creatinine, Urine","2162-6","Creatinine:MRat:24H:Urine:Qn","Creatinine [Mass/time] in 24 hour Urine"
"Campylobacter sp culture, Stool","6331-3","Campylobacter sp identified:Prid:Pt:Stool:Nom:Organism specific culture","Campylobacter sp identified in Stool by Organism specific culture"
"Copper, Urine","5632-5","Copper:MCnc:Pt:Urine:Qn","Copper [Mass/volume] in Urine"
"Cladosporium herbarum allergy test","6075-6","Cladosporium herbarum Ab.IgE:ACnc:Pt:Ser:Qn","Cladosporium herbarum IgE Ab [Units/volume] in Serum"
"Glucose after Fast, Urine","16913-6","Glucose^post CFst:PrThr:Pt:Urine:Ord","Fasting glucose [Presence] in Urine"
"Common ragweed allergy test","6085-5","Ambrosia elatior Ab.IgE:ACnc:Pt:Ser:Qn","Common Ragweed IgE Ab [Units/volume] in Serum"
"Cobalt/Creatinine, Urine","13468-4","Cobalt/Creatinine:MRto:Pt:Urine:Qn","Cobalt/Creatinine [Mass Ratio] in Urine"
"LDL cholesterol, Blood","2089-1","Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn","Cholesterol in LDL [Mass/volume] in Serum or Plasma"
"Total cholesterol/HDL Cholesterol, Blood","9830-1","Cholesterol.total/Cholesterol.in HDL:MRto:Pt:Ser/Plas:Qn","Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma"
"Chromium, Urine","21201-9","Chromium:MCnc:24H:Urine:Qn","Chromium [Mass/volume] in 24 hour Urine"
