Identifier	Dose Form	
764774009	Conventional release and prolonged-release oral tablet
764773003	Oromucosal pastille
764772008	Prolonged-release vaginal ring
764770000	Dual delayed-release oral capsule	
764501003	Oromucosal lozenge
764499006	Buccal lozenge
764486008	Prolonged-release cutaneous patch
764485007	Cutaneous patch
764478008	Gingival ointment
764477003	Transdermal cream
764446000	Nasal paste
764378009	Enteral dose form
764297006	Transdermal foam
764296002	Prolonged-release subcutaneous implant
763852000	Buccal spray
763823003	Powder for oromucosal gel
763820000	Gastro-resistant oral suspension
763819006	Prolonged-release transdermal film
763485003	Intrauterine suspension
763484004	Intrauterine solution
763446005	Gel for injection
763445009	Dental paste
763340003	Sublingual solution spray
762895008	Granules for oromucosal solution
762893001	Transdermal ointment
762072000	Cutaneous tape
762065001	Cutaneous lotion
762064002	Eye emulsion
761907007	Powder for intravesical suspension
761906003	Oromucosal suspension spray
761905004	Oromucosal spray solution
761901008	Granules for gastro-resistant oral suspension
761900009	Eye drops emulsion
761899004	Powder for rectal solution	
739662008	Vaginal tampon
739372003	Vaginal solution spray
739371005	Vaginal suspension spray
739148000	Rectal solution spray
739147005	Rectal suspension spray
719200003	Ophthalmic strip
447079001	Orodispersible tablet
447050008	Orodispersible film
443424002	Buccal film	
427129005	Oral coated capsule
426823003	Vaginal spray
425965000	Rectal spray
425753008	Cutaneous ointment
424552006	Vaginal sponge
422353003	Prolonged-release oral suspension
422336005	Nasal solution
422264003	Powder for prolonged-release suspension for injection
422201009	Tablet for cutaneous solution
422085005	Powder for eye suspension
422080000	Nasal suspension
422068008	Eye drops suspension
422060001	Eye solution
421949005	Cutaneous gel
421857007	Powder for eye solution
421765004	Solution for intraperitoneal injection
421752008	Gastro-resistant and prolonged-release oral capsule
421713001	Ear solution
421701006	Tablet for oral solution
421628006	Cutaneous cream
421620004	Prolonged-release buccal tablet
421535006	Gastro-resistant oral particles tablet
421446006	Granules for prolonged-release oral suspension
421427005	Ear and eye ointment
421425002	Powder for inhalation solution
421382000	Ear suspension
421366001	Dispersible oral tablet
421343002	Powder for cutaneous solution
421338009	Prolonged-release oral coated capsule
421221008	Suspension for inhalation
421155001	Gastro-resistant and prolonged-release oral tablet
421056002	Emulsion for inhalation
421026006	Oral tablet
420929008	Rectal suppository
420901005	Ear emulsion
420891003	Ear drops suspension
420873008	Prolonged-release suspension for injection
420767002	Gastro-resistant oral pellets capsule
420736004	Eye suspension
420692007	Oral capsule
420641004	Solution for inhalation
420636007	Ear and eye drops
420631002	Vaginal insert
420540006	Cutaneous oil
